location_code,location_name,average_rating
K478,"The High School for Enterprise, Business and Techn",7.0
K479,Erasmus Campus - Business/Tec,7.0
K480,Bushwick Hs,8.0
K483,The Urban Assembly School for Law and Justice,8.285714285714286
K484,Ronald Edmonds Learning Center II,6.5
K485,High School of Telecommunication Arts and Technolo,8.0
K486,New Dawn Charter High School,7.0
K488,Brooklyn Preparatory High School,7.375
K489,W.E.B. Dubois Academic High School,7.5
K490,Fort Hamilton High School,
K492,Academy of Arts and Letters,7.8
K493,Brooklyn Collegiate: A College Board School,7.0
K494,"Urban Assembly Young Women's Academy For Math, Sci",7.0
K495,Sheepshead Bay High School,8.125
K497,The Boerum Hill School for International Studies,7.612903225806452
K498,Brooklyn High School for Law and Technology,8.333333333333334
K499,ACORN Community High School,7.6
K500,Canarsie High School,6.0
K502,FDNY - Captain Vernon A. Richard High School for F,6.0
K503,P.S. 503: The School of Discovery,8.0
K504,High School for Civil Rights,6.0
K505,Franklin Delano Roosevelt High School,6.0
K506,P.S. 506: The School of Journalism & Technology,8.0
K507,Performing Arts and Technology High School,6.0
K508,Achievement First Endeavor Charter School,7.533333333333333
K509,Freedom Academy High School,8.2
K510,World Academy for Total Community Health High Scho,6.0
K512,Bushwick Outreach,8.0
K513,East New York Preparatory Charter School,5.666666666666667
K514,Frederick Douglass Academy VII High School,5.666666666666667
K515,South Shore High School,7.166666666666667
K516,Sunset Park Avenues Elementary School,6.5
K517,Leadership Prep Bedford Stuyvesant Uncommon Prep C,7.0
K518,Kappa V (Knowledge and Power Preparatory Academy),7.166666666666667
K519,Cobble Hill School of American Studies,7.777777777777778
K520,Pacific High School,8.25925925925926
K521,District 18 ES#1,7.6
K522,Mott Hall IV,7.0
K523,New Horizons Preparatory School,
K524,International High School at Prospect Heights,7.8
K525,Edward R. Murrow High School,8.5
K527,Urban Assembly Institute of Math and Science for Y,8.285714285714286
K528,The High School for Global Citizenship,7.8
K529,West Brooklyn Community High School,7.8
K530,Metropolitan Corporate Academy High School,7.791666666666667
K531,"School for Human Rights, The",9.0
K532,New Bridges Elementary,8.0
K533,School for Democracy and Leadership,9.0
K534,Upper School @ P.S. 25,7.666666666666667
K535,Leon M. Goldstein High School for the Sciences,7.5
K536,Community Roots Charter School,7.961538461538462
K537,High School for Youth and Community Development at,7.0
K538,Achievement First Bushwick Charter School,7.8
K539,High School for Service & Learning at Erasmus,7.0
K540,John Dewey High School,8.5
K543,"Science, Technology and Research Early College Hig",7.0
K544,International Arts Business School,9.0
K545,EBC High School for Public Service - Bushwick,8.0
K546,High School for Public Service: Heroes of Tomorrow,9.0
K547,Brooklyn Academy of Science and the Environment,7.8
K548,Brooklyn School for Music & Theatre,7.8
K549,The Brooklyn School for Social Justice,7.5
K551,New York Harbor School,7.5
K552,The Academy of Urban Planning and Engineering,7.5
K553,Brooklyn Academy High School,
K554,All City Leadership Secondary School,8.0
K555,Brooklyn College Academy,7.0
K556,Bushwick Leaders High School for Academic Excellen,8.0
K557,Brooklyn Gardens Elementary School,6.0
K558,Williamsburg High School for Architecture and Desi,7.375
K559,Life Academy High School for Film and Music,8.5
K561,Williamsburg Preparatory School,7.375
K562,Evergreen Middle School for Urban Exploration,7.5
K563,It Takes a Village Academy,7.75
K564,Bushwick Community High School,8.0
K566,Brooklyn Community High School for Excellence and,7.166666666666667
K567,Brooklyn Theatre Arts High School,7.166666666666667
K568,Brownsville Academy High School,6.5
K569,Kurt Hahn Expeditionary Learning School,7.75
K571,M.S. 571,7.5
K572,Leaders High School,8.5
K574,Upper Academy At Ps 23,7.0
K575,Bedford Stuyvesant Preparatory High School,
K576,Victory Collegiate High School,7.166666666666667
K577,Conselyea Preparatory School,7.5
K578,Brooklyn Bridge Academy,7.166666666666667
K579,Upper Academy At Ps 147,7.4
K580,Literacy Center - Brooklyn,
K581,"The Middle School of Media, Law and Fine Arts",8.5
K582,M.S. 582,7.0
K583,Multicultural High School,6.0
K584,M.S. 584,7.0
K585,Brooklyn Comprehensive Night High School,7.0
K586,Lyons Community School,6.833333333333333
K587,Middle School for the Arts,9.0
K588,Middle School for Art and Philosophy,7.25
K589,Arts & Media Preparatory Academy,8.5
K590,Medgar Evers College Preparatory School,8.0
K592,Khalil Gibran International Academy,7.791666666666667
K593,Excellence Boys Charter School,8.0
K594,Gotham Professional Arts Academy,7.6
K595,Bedford Academy High School,
K596,M.S. 596 Peace Academy,7.2
K598,Middle School of Marketing and Legal Studies,8.5
K599,Brooklyn Landmark Elementary School,7.666666666666667
K600,Clara Barton High School,7.8
K605,George Westinghouse Career and Technical Education,8.285714285714286
K605,George Westinghouse Career and Technical Education,8.285714285714286
K608,Kings Collegiate Charter School,7.25
K609,Urban Assembly School for Criminal Justice,8.166666666666666
K610,A-Tech High School,7.375
K611,Origins High School,8.125
K612,Community Preparatory High School,7.75
K614,Young Women's Leadership School of Brooklyn,7.4
K615,Transit Tech Career and Technical Education High S,8.0
K616,Brooklyn High School for Leadership and Community,7.2
K617,High School for Innovation in Advertising and Medi,6.0
K618,Academy of Innovative Technology,6.0
K620,William E. Grady Career and Technical Education Hi,7.846153846153846
K625,Paul Robeson High School,7.5
K626,Achievement First Brownsville Charter School,7.0
K627,Brighter Choice Community School,7.666666666666667
K628,Brooklyn Brownstone School,7.666666666666667
K629,Cultural Academy for the Arts and Sciences,7.75
K630,Professional Pathways High School,8.125
K631,General D. Chappie James Elementary School of Scie,6.833333333333333
K632,Frances Perkins Academy,7.375
K633,High School for Medical Professions,6.0
K634,General D. Chappie James Middle School of Science,6.833333333333333
K635,Olympus Academy,7.0
K635,Olympus Academy,7.0
K636,Young Scholars' Academy for Discovery and Explorat,7.666666666666667
K637,Academy for Conservation and the Environment,7.166666666666667
K639,Brooklyn Lab School,6.0
K640,Harry Van Arsdale High School,7.375
K642,Urban Action Academy,6.0
K643,Brooklyn Democracy Academy,7.166666666666667
K644,Eagle Academy for Young Men II,7.0
K645,EBC/ENY High School for Public Safety & Law,7.888888888888889
K646,Aspirations Diploma Plus High School,7.5
K647,Metropolitan Diploma Plus High School,7.166666666666667
K648,Bedford Stuyvesant Collegiate Charter School,8.0
K649,La Cima Charter School,8.0
K651,PAVE Academy Charter School,7.388888888888889
K652,Brooklyn Ascend Charter School,7.25
K654,Van Siclen Community Middle School,7.333333333333333
K656,Brooklyn High School of the Arts,7.631578947368421
K659,Cypress Hills Collegiate Preparatory School,6.0
K660,W. H. Maxwell Career and Technical Education High,7.6
K661,Vista Academy,8.222222222222221
K662,Liberty Avenue Middle School,8.222222222222221
K663,School of the Future Brooklyn,6.0
K664,Brooklyn Environmental Exploration School (BEES),7.666666666666667
K667,Sunset Park High School,6.333333333333333
K668,Riverdale Avenue Middle School,6.833333333333333
K669,Research and Service High School,7.666666666666667
